Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[1114] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1115] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1116] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1117] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1118] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1119] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1120] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[1121] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[1122] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1123] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1124] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1125] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[1126] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1127] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1128] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1129] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1130] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1131] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1132] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1133] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1134] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[1135] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 5 (ms)
[1136] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1137] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1138] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[1139] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[1140] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 4 (ms)
[1141] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1142] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1143] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1144] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1145] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1146] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1147] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1148] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1149] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1150] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[1151] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1152] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1153] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1154] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[1155] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[1156] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[1157] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[1158] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[1159] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[1160] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1161] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[1162] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[1163] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[1164] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[1165] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[1166] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[1167] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[1168] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[1169] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[1170] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[1171] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[1172] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[1173] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[1174] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[1175] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[1176] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[1177] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[1178] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[1179] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[1180] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1181] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1182] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1183] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1184] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[1185] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1186] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1187] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1188] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1189] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1190] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1191] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[1192] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[1193] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1194] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1195] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1196] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[1197] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1198] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1199] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1200] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1201] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1202] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1203] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1204] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1205] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[1206] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 6 (ms)
[1207] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1208] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1209] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[1210] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[1211] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 5 (ms)
[1212] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1213] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1214] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1215] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1216] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1217] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1218] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1219] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1220] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1221] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[1222] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1223] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1224] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1225] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[1226] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[1227] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[1228] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[1229] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[1230] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[1231] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1232] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[1233] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[1234] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[1235] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[1236] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[1237] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[1238] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[1239] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[1240] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[1241] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[1242] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[1243] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[1244] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[1245] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[1246] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[1247] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[1248] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[1249] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[1250] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[1251] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1252] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1253] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1254] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1255] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[1256] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1257] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1258] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1259] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1260] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1261] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1262] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[1263] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[1264] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1265] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1266] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1267] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[1268] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1269] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1270] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1271] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1272] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1273] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1274] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1275] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1276] Operator Multiply (ND)[25,0]: Elapsed 4 (ms)
[1277] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 1 (ms)
[1278] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1279] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1280] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 5 (ms)
[1281] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[1282] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 4 (ms)
[1283] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1284] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1285] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1286] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1287] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1288] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1289] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1290] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1291] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1292] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[1293] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1294] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1295] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1296] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[1297] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[1298] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[1299] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[1300] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[1301] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[1302] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1303] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[1304] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[1305] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[1306] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[1307] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[1308] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[1309] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[1310] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[1311] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[1312] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[1313] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[1314] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[1315] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[1316] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[1317] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[1318] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[1319] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[1320] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[1321] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[1322] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1323] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1324] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1325] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1326] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[1327] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1328] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1329] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1330] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1331] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1332] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1333] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[1334] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[1335] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1336] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1337] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1338] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[1339] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1340] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1341] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1342] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1343] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1344] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1345] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1346] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1347] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[1348] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 6 (ms)
[1349] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1350] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1351] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 4 (ms)
[1352] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[1353] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 5 (ms)
[1354] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1355] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1356] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1357] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1358] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1359] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1360] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1361] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1362] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1363] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 2 (ms)
[1364] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1365] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1366] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1367] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[1368] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[1369] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[1370] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[1371] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[1372] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[1373] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1374] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[1375] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[1376] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[1377] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[1378] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[1379] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[1380] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[1381] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[1382] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[1383] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[1384] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[1385] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[1386] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[1387] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[1388] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[1389] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[1390] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[1391] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[1392] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[1393] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1394] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1395] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1396] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1397] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[1398] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1399] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1400] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1401] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1402] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1403] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1404] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[1405] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[1406] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1407] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1408] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1409] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[1410] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1411] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1412] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1413] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1414] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1415] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1416] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1417] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1418] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[1419] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 5 (ms)
[1420] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1421] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1422] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 6 (ms)
[1423] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[1424] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 4 (ms)
[1425] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[1426] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[1427] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[1428] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[1429] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[1430] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[1431] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[1432] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[1433] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[1434] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 3 (ms)
[1435] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[1436] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[1437] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[1438] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[1439] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[1440] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[1441] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[1442] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[1443] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[1444] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[1445] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[1446] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[1447] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[1448] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[1449] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[1450] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[1451] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[1452] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[1453] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[1454] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[1455] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[1456] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[1457] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[1458] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[1459] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[1460] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[1461] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[1462] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[1463] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[1464] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[1465] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[1466] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[1467] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[1468] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[1469] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[1470] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[1471] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[1472] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[1473] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[1474] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[1475] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[1476] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[1477] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[1478] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[1479] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[1480] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[1481] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[1482] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[1483] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[1484] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[1485] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[1486] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[1487] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[1488] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[1489] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[1490] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 5 (ms)
[1491] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[1492] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[1493] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 4 (ms)
[1494] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
