Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[90] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[91] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[92] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[93] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[94] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[95] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[96] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[97] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[98] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[99] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[100] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[101] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[102] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[103] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[104] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[105] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[106] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[107] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[108] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[109] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[110] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[111] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[112] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[113] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[114] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[115] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[116] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[117] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[118] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[119] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[120] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[121] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[122] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[123] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[124] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[125] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[126] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[127] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[128] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[129] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[130] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[131] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[132] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[133] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[134] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[135] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[136] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[137] Operator Static Reshape (NC)[22,0]: Elapsed 0 (ms)
[138] Operator Reciprocal Square Root (NC)[23,0]: Elapsed 0 (ms)
[139] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[140] Operator Multiply (ND)[25,0]: Elapsed 0 (ms)
[141] Operator Fully Connected (NC, QDU8, F32, QC8W)[26,0]: Elapsed 7 (ms)
[142] Operator Sigmoid (NC)[27,0]: Elapsed 0 (ms)
[143] Operator Multiply (ND)[28,0]: Elapsed 0 (ms)
[144] Operator Fully Connected (NC, QDU8, F32, QC8W)[29,0]: Elapsed 7 (ms)
[145] Operator Multiply (ND)[30,0]: Elapsed 0 (ms)
[146] Operator Fully Connected (NC, QDU8, F32, QC8W)[31,0]: Elapsed 5 (ms)
[147] Operator Add (ND)[32,0]: Elapsed 0 (ms)
[148] Operator Multiply (ND)[33,0]: Elapsed 0 (ms)
[149] Operator Sum (ND)[34,0]: Elapsed 0 (ms)
[150] Operator Multiply (ND)[35,0]: Elapsed 0 (ms)
[151] Operator Add (ND)[36,0]: Elapsed 0 (ms)
[152] Operator Static Reshape (NC)[37,0]: Elapsed 0 (ms)
[153] Operator Reciprocal Square Root (NC)[38,0]: Elapsed 0 (ms)
[154] Operator Multiply (ND)[39,0]: Elapsed 0 (ms)
[155] Operator Multiply (ND)[40,0]: Elapsed 0 (ms)
[156] Operator Fully Connected (NC, QDU8, F32, QC8W)[41,0]: Elapsed 5 (ms)
[157] Operator Static Reshape (NC)[42,0]: Elapsed 0 (ms)
[158] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[159] Operator Slice (ND, X32)[44,0]: Elapsed 0 (ms)
[160] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[161] Operator Static Reshape (NC)[46,0]: Elapsed 0 (ms)
[162] Operator Transpose (ND, X32)[47,0]: Elapsed 0 (ms)
[163] Operator Slice (ND, X32)[48,0]: Elapsed 0 (ms)
[164] Operator Slice (ND, X32)[49,0]: Elapsed 0 (ms)
[165] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[166] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[167] Operator Subtract (ND)[52,0]: Elapsed 0 (ms)
[168] Operator Multiply (ND)[53,0]: Elapsed 0 (ms)
[169] Operator Multiply (ND)[54,0]: Elapsed 0 (ms)
[170] Operator Add (ND)[55,0]: Elapsed 0 (ms)
[171] Operator Copy (NC, X32)[56,0]: Elapsed 0 (ms)
[172] Operator Copy (NC, X32)[56,1]: Elapsed 0 (ms)
[173] Operator Transpose (ND, X32)[57,0]: Elapsed 0 (ms)
[174] Operator Transpose (ND, X32)[58,0]: Elapsed 0 (ms)
[175] Operator Slice (ND, X32)[59,0]: Elapsed 0 (ms)
[176] Operator Slice (ND, X32)[60,0]: Elapsed 0 (ms)
[177] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[178] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[179] Operator Subtract (ND)[63,0]: Elapsed 0 (ms)
[180] Operator Multiply (ND)[64,0]: Elapsed 0 (ms)
[181] Operator Multiply (ND)[65,0]: Elapsed 0 (ms)
[182] Operator Add (ND)[66,0]: Elapsed 0 (ms)
[183] Operator Copy (NC, X32)[67,0]: Elapsed 0 (ms)
[184] Operator Copy (NC, X32)[67,1]: Elapsed 0 (ms)
[185] Operator Transpose (ND, X32)[68,0]: Elapsed 0 (ms)
[186] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[187] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[188] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[189] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[190] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
